EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7794770104121,42,19,12,1
7790742161802,35.89,128,0,1
8001420107883,139,0,0,1
7790064001305,15,40,320,1
7798178800906,6,0,0,1
7312040551569,0,0,0,0
7896624202431,8.99,288,288,1
7791293028941,38,9,2436,1
7791885001062,210,0,60,1
7896009401350,43.7,12,504,1
7791905003632,20.3,10,1635,1
7790168113300,72.1,16,1140,1
7702031241522,34.7,43,5952,1
7796746000024,0,0,525,1
7791293032337,43,14,996,1
7793944000085,0,0,0,1
7797330004268,94,7,60,1
7793482000455,87,4,0,1
7891010619435,133,19,684,1
7896009419195,54,9,420,1
7792640002317,114,19,120,1
7790639002638,0,0,0,1
7791290010000,109,11,924,1
7790975017969,165,0,96,1
7790790120806,20,0,0,1
3614220235653,0,0,0,0
7798159717506,24.6,0,768,1
7791875008026,270,0,0,1
3412242310057,171,5,0,1
7798159716714,69.06,0,0,1
7798096056065,41,12,24,1
3614221716991,0,0,0,0
7509552910445,116,8,6,1
7798141716456,44,4,399,1
7791290010444,45.3,2185,3528,1
7792280002142,27,12,140,1
7790072000086,73,15,210,1
7791019174624,67,15,63,1
7500435012034,47.3,14,684,0
7790520013194,16.59,3,9528,1
7791130001229,42,15,108,1
7790463000046,70,18,1068,1
7793944000023,0,0,0,1
7794000001787,27.9,18,7776,1
7798159715885,23.94,20,1970,1
7792319003263,0,0,0,1
7792840023815,32.4,8,6100,1
7790139002138,23.6,24,4692,1
7791100000214,26.4,12,1620,1
7791813000310,15,29,0,1
7792389080317,0,0,0,1
7790480000203,74,8,660,1
7791885005442,47,21,312,1
7622300989934,15.1,31,4464,1
7791690713211,79,6,0,1
7610400082518,99,0,0,1
8000353004023,0,0,0,1
7792389001152,0,0,0,1
3607342735347,46.7,16,0,1
7613035782297,138,21,0,1
8426920615001,26,12,0,1
7798099592935,104,14,132,1
7798107930568,0,0,0,1
7790580436902,42.9,25,4976,1
7794626006722,192,11,1580,1
7790990992777,99.9,18,306,1
7861002900117,92,32,360,1
7798224210185,43,48,0,1
7790411001408,31,8,100,1
7790314005947,63,0,24,1
7791176130587,31,0,0,1
7796989007620,60,0,0,1
7798100460246,34,37,48,1
8412598029806,0,0,0,1
7790040994904,14.5,137,10290,1
7792756100709,0,0,318,1
7790121001569,0,0,0,1
7793360005329,30,1,0,1
7791905000723,34,0,1096,1
7798095170595,70,16,708,1
7798130461985,81.6,12,6,1
7790900017101,100,39,72,1
