EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7796039001653,0,0,0,1
7793253000967,35,6,4152,1
7791019000060,23.91,55,2156,1
7798159717575,27.21,16,624,1
7793253002299,49,7,780,1
7798157740094,38,43,48,1
7790040177901,12.8,40,3210,1
7793147001117,0,0,0,1
7791971000047,0,0,0,1
7791905004417,39.9,6,0,1
30074576,0,0,0,0
7798116190014,258,44,0,1
7790033235816,0,0,0,0
7793620003522,73,38,1240,1
7790950003437,24.5,14,852,1
7790990992692,109.99,15,228,1
7793620003393,14.5,55,448,1
5412652000065,0,0,0,1
7791905003540,18.5,16,2754,1
7798159717957,21.4,59,11178,1
7794450008275,779,0,356,1
7509546053073,48.8,390,5448,1
3607345064550,0,0,0,0
7793680001742,90,23,36,1
7891024028629,14,140,11016,1
7798099599200,129,33,9186,1
8000139001253,0,0,0,1
7790520019875,34.4,13,780,1
3600530833108,0,0,0,0
7790577006149,0,0,0,1
7798152226128,19.78,44,8718,1
7501086454136,54,21,0,1
7794520491198,49.2,12,1512,1
7798141716494,31,22,400,1
3272460171416,37,8,0,1
7797906001851,80,29,1656,1
7793360674105,19.5,196,8892,1
7798113301123,0,0,0,1
7790036008127,112,6,18,1
8001200045091,60,17,1656,1
7794000001015,0,0,60,1
7794990879847,98,15,0,1
7793253002305,89,8,24,1
7790480008926,93,75,1044,1
7791337531567,14.13,44,0,1
7791176218643,32,0,0,1
7791293026473,46.8,19,12,1
7791120000645,13,34,144,1
7791813050520,14.6,28,3552,1
7790070411181,13.8,115,2604,1
7891010604806,37,17,0,1
80273653,0,0,6,1
7790033206977,0,0,0,0
17600081209,140,0,24,1
7798074860226,115,53,1128,1
7798108344289,18.8,36,1176,1
7702027430664,35,42,1470,1
7798159712327,11.55,24,144,1
7795145000086,0,0,0,1
5012874173044,0,0,0,0
7791843010129,46,14,1512,1
7790971001245,0,0,0,1
7790470050454,90,15,132,1
7791293034928,72,6,624,1
7794000599468,0,0,24,1
7794640170102,23.91,27,2244,1
7614500010310,0,0,360,1
7790550017728,278,0,0,1
3607342351004,163,0,0,0
7798037560583,103,25,750,1
7795165000080,57,12,0,1
7790427000020,28,0,2952,1
7792504000282,31,4,144,1
70942303101,60,27,18,1
7794000597723,19.7,121,49840,1
8004323110035,58,16,0,1
7790990599440,17,15,0,1
8000139910296,0,0,0,1
7790168102762,55.7,24,30,1
7790520015051,85,0,0,1
7798141717965,6.9,31,15396,1
77924261,0,0,2592,1
7798109280982,37.6,15,24,1
7791293032481,31.5,-1,0,1
7798127480296,86,9,24,1
7794626006753,329,6,201,1
77941855,52,44,18696,1
7790377001412,78,33,12,1
7790272000534,120,18,54,1
7790900016937,88.1,7,204,1
7790150405338,16.5,40,1925,1
7793620003355,72,11,608,1
7792389079007,0,0,0,1
7790790120257,8,932,-648,1
7792640000207,121,17,12,1
7798152224117,22.55,0,0,1
7798053651425,109,9,0,1
7798161720877,62,0,0,1
7798141718092,12,0,0,1
7794000000599,41.99,22,272,1
7795323002840,63,0,0,1
7794820014899,18.28,12,0,1
7790990990018,39,8,960,1
7790895004346,31.8,0,0,1
309976593333,90,2,96,1
7790387015218,74,16,7260,1
7792070000686,46.2,41,648,1
7790726119973,0,0,0,1
7500435024778,85.6,18,60,1
7790577000840,583,7,0,1
7791290013025,53.75,615,17844,1
7798000280050,102,10,0,1
7790093132940,202.7,9,0,1
7798033331194,15.9,225,16480,1
309976790039,0,0,0,0
7791993000261,0,0,0,1
7798053332058,0,0,0,1
7790580176006,25,11,300,1
7790158229363,45,5,0,1
7798014467348,76,27,48,1
7790580011406,20.8,119,1200,1
7790895004803,0,0,0,1
7794770100253,28,27,120,1
7794980938547,0,0,0,1
7798092000062,64.5,0,0,1
7798108345491,43,18,576,1
7792319065254,79,79,4776,1
7790580103392,0,0,0,1
7790326012018,0,0,0,1
7790168000501,66.5,11,834,1
7791520001068,30,47,72,1
7798014460103,43.3,23,108,1
7790503198467,30,83,3160,1
7791672000704,48.9,15,0,1
3614220077789,169,0,0,0
7792799000035,15.5,15,12,1
7791199003981,14.9,14,1620,1
7790375000134,221,7,80,1
7790895008634,25.6,2,732,1
7790310004463,26,40,0,1
7790990501481,48,0,0,1
7794626006852,229.9,12,126,1
7798180960421,73,14,0,1
7791130001694,61,14,168,1
7796989006890,46,75,0,1
7795711000069,40,12,84,1
7790174000946,40,26,5880,1
7798008291218,71,5,192,1
7798028020218,39.9,40,0,1
7790580103415,19.95,56,11200,1
7792640001600,119,21,12,1
7793024055479,43,0,336,1
7790895064166,42,646,1458,1
7790990990193,80,8,150,1
7790895064333,24.99,286,3608,1
7798159717360,37,41,2088,1
7798152220164,104,14,0,1
7796373002101,29,0,888,1
7791969028831,43.9,37,240,1
7798155610016,82,26,0,1
7790524000572,60,27,60,1
7795933101735,30.6,48,23304,1
7792389001169,0,0,0,1
7793253002657,27,30,1104,1
7794820015193,23.53,20,0,1
7790742162304,32.3,40,0,1
7794640170645,46.5,21,300,1
7798164602965,26.88,3,0,1
7798021690692,0,0,0,1
7798159712419,21.4,50,1320,1
7790463000107,44.99,228,2880,1
7792280002890,39,24,180,1
7702031998174,70,16,96,1
7792640000337,121,10,60,1
7791085000117,0,0,0,1
7792640001914,145,9,108,1
7793253001421,65,77,1995,1
7798175713513,63,9,0,1
7790590000858,37.9,103,5280,1
7790805550116,290,22,0,1
7791290011700,0,0,0,1
7891150041738,85,25,768,1
7500435012164,88,20,60,1
7798159716325,43,9,924,1
7798104971793,70,20,120,1
7702018316687,40.6,53,1896,1
3614222813637,44,14,216,1
4005808229123,62,17,108,1
8003240071290,0,0,0,1
7795933000519,106,25,1068,1
7899026498969,0,0,0,0
8000350004705,197,0,0,1
7790130000317,38.4,7,384,1
7792378001705,22,41,1720,1
7793100194849,68,0,0,1
7798161720051,51,0,0,1
7790950133905,8.3,83,264,1
3412244510004,171,13,12,1
7790740505554,44.8,13,924,1
7791620009858,28.6,43,1776,1
7790036004976,14,-5,3720,1
7798089550082,51,0,0,1
7792798006052,168,13,4,1
7790740500580,44.5,24,240,1
7790139004422,0,0,0,0
7501078270638,85.6,16,48,1
7798159715687,3.8,227,23328,1
7798128560713,33,9,228,1
7790950133363,29,102,6780,1
7798146300582,37,23,3880,1
7791241000692,9.9,0,0,1
41554209570,0,0,0,0
7896015527433,58,21,732,1
